t	θ
0	        45.17834408
0.033301111	44.01960242
0.063559848	42.71139204
0.095338434	40.93649716
0.133171111	38.74946989
0.158900101	36.33969809
0.190675808	33.52956615
0.233046667	30.37156821
0.254235253	27.11958988
0.286018131	23.25396868
0.332929444	19.38329318
0.349573586	15.21607587
0.381358081	11.26149766
0.432806111	7.000450965
0.444917273	2.884663449
0.476695253	-1.415776378
0.532691111	-5.470257515
0.540254293	-9.709667296
0.572032121	-13.83101921
0.632566667	-17.78884658
0.635593131	-21.66423411
0.667375303	-25.14800567
0.732449444	-28.23871984
0.730940151	-31.33390128
0.762710404	-33.98375061
0.832327778	-36.51121332
0.826274394	-38.67293233
0.858048889	-40.46900449
0.932206111	-41.90141902
0.921610556	-43.06944831
0.953395101	-43.73017988
1.032082778	-44.07710837
1.016951414	-43.96553728
1.04873399	-43.52482285
1.131967223	-42.74762222
1.11229197	-41.64775678
1.144075152	-40.29735161
1.23184	        -38.60429554
1.207631565	-36.55249492
1.239406919	-34.08970628
1.331720555	-31.34380762
1.302972172	-28.12735901
1.334746313	-24.80651415
1.431599444	-21.04347897
1.398306667	-17.33676325
1.430085051	-13.38923687
1.531481111	-9.202949834
1.493648889	-4.931050378
1.525430808	-0.684052141
1.631362222	3.756832031
1.588988889	8.00077593
1.620767576	12.18186603
1.731237222	16.44671248
1.684324141	20.15097879
1.716105909	24.11401269
1.831116111	27.63657438
1.779666869	30.92601925
1.811444545	33.96540452
1.930999445	36.79516146
1.875004041	39.04419516
1.9975825	39.59532223
2.030875556	41.37692477
2.064172134	43.39079719
